SAMPLE,Depth,K_field,Klf,Mass,Khf,Kfd_abs,Kfd,Fe,horizon,Bulk_density,copeky_depth,Humus,pH_eau,CEC,Clay,Silt,Sand,WC,field_realperm,field_imperm,field_temp,EC1_5
HOEKE3,55,1.67E-04,9.75E-05,14.8,0.00009277,0.00000468,4.802462801,16994,,1.792090393,55,0.612,8.520,7.937,16.102,38.811,45.087,26.71,19.2,15.4,16.3,0.0147
HOEKE8,28,1.16E-03,1.27E-03,13.7,0.001204,6.1E-05,4.822134387,23155,,1.645528882,28,2.810,8.290,13.855,21.728,41.326,36.946,32.85,28.8,27.4,19.7,0.01698
HOEKE47,63,0.000165,0.000164,13.84,0.0001509,0.0000126,7.706422018,22558,,1.551989885,63,0.850,8.570,14.485,28.995,48.200,22.805,39.09,28.8,26.8,19.3,0.01442
HOEKE23,80,0.000141,0.000091,14.18,0.00008683,4.46E-06,4.885529631,18330,,1.428976016,80,0.500,8.500,9.251,18.817,45.699,35.484,40.62,31.3,22.4,16.5,0.01544
HOEKE49,107,0.000150,0.000155,14.95,0.0001432,0.0000116,7.493540052,19274,,1.628706655,107,0.676,8.610,9.498,16.878,41.577,41.545,34.92,27.5,23.4,18.2,0.01309
HOEKE5,120,0.000118,0.000078,13.51,0.00007473,0.00000371,4.72972973,34249,,1.501842883,120,0.620,8.620,8.976,18.513,42.693,38.794,42.04,31.5,20.7,17.2,0.01507
HOEKE10,154,0.000096,0.000103,14.41,0.00009659,0.00000641,6.223300971,18269,,1.645657248,154,0.560,8.520,8.396,16.041,40.309,43.649,37.7,28,21.9,17.5,0.01275
HOEKE6,185,0.000093,0.000110,14.1,0.0001039,6.3E-06,5.716878403,20329,,1.412348399,185,0.516,8.570,10.830,21.371,48.849,29.780,44.01,32.6,28.7,17,0.01445
HOEKE19,205,0.000141,0.000286,11.98,0.0002728,0.0000128,4.481792717,17808,,1.196846183,205,5.194,8.050,15.837,20.593,53.954,25.453,54.44,44.4,31,17.3,0.1141
HOEKE7,237,0.000045,0.000068,12.34,0.00006501,0.00000345,5.039439089,22776,,1.161916181,237,3.144,7.890,13.385,22.997,64.201,12.802,55.8,43.1,32.3,17.5,0.149
HOEKE1,258,0.000047,0.000068,12.77,0.00006488,0.00000299,4.405481067,34252,,0.925333732,258,10.894,7.680,29.875,31.693,59.626,8.681,58.72,53.1,42.3,17.7,0.28
DREN10,72,0.000656,0.000696,14.98,0.0006318,6.37E-05,9.158878505,32131,,1.728042964,72,1.626,7.920,22.890,37.131,38.711,24.159,25.5,19,20.5,24.4,0.00781
DREN8,110,0.000666,0.000554,13.86,0.0005086,0.0000457,8.24463287,33885,,1.703795472,110,0.796,8.140,21.699,33.046,33.431,33.523,24.99,20.9,22,22.4,0.00763
DREN49,137,0.000584,0.000513,14.77,0.0004762,0.0000366,7.137285491,31211,,1.649335064,137,0.580,8.170,19.975,27.519,37.209,35.271,28.4,27.8,30.8,19.1,0.00708
DREN47,180,0.000483,0.000527,15.3,0.0004917,0.0000351,6.662870159,35483,,1.6888513,180,0.868,8.150,23.817,38.327,43.260,18.412,36.27,31.4,36.5,19.1,0.0076
DREN6,252,0.000478,0.000507,15.28,0.0004758,0.0000316,6.227828143,37183,,1.687466366,253,0.858,8.140,25.036,38.844,41.175,19.981,38.68,32.1,39.6,19.3,0.00771
VALTHEN1,10,0.000121,0.000193,14.79,0.0001787,0.0000143,7.409326425,1938,,1.429073739,10,2.190,5.030,1.600,4.003,4.731,91.266,4.79,3,0.4,20.3,0.00413
VALTHEA12,25,0.000033,0.000026,16.72,0.00002439,0.0000017,6.515906478,1069,,1.675355925,25,0.552,5.930,1.600,3.574,2.502,93.923,8.47,3.2,0.2,19.7,0.00224
VALTHEN5,25,0.000052,0.000015,17.96,0.00001372,0.00000092,6.284153005,1029,,1.579683512,25,0.244,5.890,1.600,3.238,2.159,94.604,5.28,3.4,0.2,20.5,0.00211
