,feature_set,best_n,R2_test_pol,R2_train_pol,RMSE_test_pol,RMSE_train_pol
0,['Clay'],1,0.664,0.782,4.501,4.241
1,['Sand'],2,0.461,0.684,6.115,4.957
2,['K_field'],0,-0.113,0.0,8.661,9.045
3,['Khf'],0,-0.113,0.0,8.661,9.045
4,['Kfd'],0,-0.113,0.0,8.661,9.045
5,['Kfd_abs'],0,-0.113,0.0,8.661,9.045
6,['Depth'],0,-0.113,0.0,8.661,9.045
7,['Bulk_density'],0,-0.113,0.0,8.661,9.045
8,['Humus'],0,-0.113,0.0,8.661,9.045
9,['Fe'],1,0.587,0.628,5.435,5.183
10,['EC'],1,0.108,0.312,7.89,7.411
11,['pH_eau'],1,0.075,0.3,8.514,7.163
12,['WC'],0,-0.113,0.0,8.661,9.045
13,"['Clay', 'Sand']",1,0.655,0.804,4.77,3.987
14,"['Clay', 'K_field']",1,0.64,0.786,4.859,4.117
15,"['Clay', 'Khf']",1,0.598,0.785,4.917,4.142
16,"['Clay', 'Kfd']",1,0.71,0.832,4.308,3.649
17,"['Clay', 'Kfd_abs']",1,0.658,0.794,4.697,4.027
18,"['Clay', 'Depth']",1,0.635,0.788,4.852,4.08
19,"['Clay', 'Bulk_density']",1,0.714,0.821,4.187,3.768
20,"['Clay', 'Humus']",1,0.673,0.806,4.445,4.003
21,"['Clay', 'Fe']",1,0.785,0.888,3.592,2.995
22,"['Clay', 'EC']",1,0.822,0.897,3.413,2.902
23,"['Clay', 'pH_eau']",1,0.624,0.789,4.836,4.139
24,"['Clay', 'WC']",1,0.692,0.812,4.328,3.897
25,"['Sand', 'K_field']",2,0.493,0.871,5.357,3.084
26,"['Sand', 'Khf']",2,0.477,0.897,5.48,2.803
27,"['Sand', 'Kfd']",2,0.268,0.781,7.08,4.125
28,"['Sand', 'Kfd_abs']",2,0.536,0.846,5.524,3.511
29,"['Sand', 'Depth']",2,0.356,0.813,6.431,3.858
30,"['Sand', 'Bulk_density']",1,0.231,0.566,7.239,5.695
31,"['Sand', 'Humus']",1,0.156,0.558,7.239,5.829
32,"['Sand', 'Fe']",1,0.775,0.875,3.943,3.113
33,"['Sand', 'EC']",1,0.174,0.599,7.573,5.66
34,"['Sand', 'pH_eau']",2,0.462,0.814,6.503,3.581
35,"['Sand', 'WC']",1,0.348,0.582,6.76,5.521
36,"['K_field', 'Khf']",0,-0.113,0.0,8.661,9.045
37,"['K_field', 'Kfd']",0,-0.113,0.0,8.661,9.045
38,"['K_field', 'Kfd_abs']",0,-0.113,0.0,8.661,9.045
39,"['K_field', 'Depth']",0,-0.113,0.0,8.661,9.045
