,feature_set,best_n,R2_test_pol,R2_train_pol,RMSE_test_pol,RMSE_train_pol
0,['Clay'],1,0.407,0.531,1.854,1.669
1,['Sand'],1,0.463,0.497,1.788,1.719
2,['K_field'],2,0.458,0.59,1.847,1.517
3,['Khf'],2,0.032,0.416,2.363,1.84
4,['Kfd'],0,-0.092,0.0,2.535,2.473
5,['Kfd_abs'],2,0.13,0.332,2.344,1.976
6,['Depth'],0,-0.092,0.0,2.535,2.473
7,['Bulk_density'],0,-0.092,0.0,2.535,2.473
8,['Humus'],0,-0.092,0.0,2.535,2.473
9,['Fe'],2,0.723,0.794,1.265,1.109
10,['EC'],1,0.528,0.544,1.665,1.63
11,['pH_eau'],1,0.269,0.4,2.031,1.867
12,['WC'],2,0.398,0.478,1.875,1.764
13,"['Clay', 'Sand']",2,0.697,0.869,1.268,0.87
14,"['Clay', 'K_field']",1,0.569,0.726,1.586,1.283
15,"['Clay', 'Khf']",2,0.435,0.831,1.764,0.992
16,"['Clay', 'Kfd']",1,0.305,0.558,1.991,1.623
17,"['Clay', 'Kfd_abs']",2,0.538,0.816,1.579,1.083
18,"['Clay', 'Depth']",1,0.456,0.594,1.841,1.57
19,"['Clay', 'Bulk_density']",1,0.344,0.552,1.934,1.626
20,"['Clay', 'Humus']",1,0.381,0.582,1.87,1.597
21,"['Clay', 'Fe']",1,0.616,0.712,1.544,1.296
22,"['Clay', 'EC']",1,0.545,0.662,1.693,1.414
23,"['Clay', 'pH_eau']",2,0.482,0.848,1.727,0.965
24,"['Clay', 'WC']",1,0.448,0.586,1.849,1.575
25,"['Sand', 'K_field']",1,0.434,0.597,1.772,1.571
26,"['Sand', 'Khf']",1,0.455,0.546,1.83,1.632
27,"['Sand', 'Kfd']",1,0.423,0.558,1.828,1.624
28,"['Sand', 'Kfd_abs']",1,0.454,0.532,1.838,1.674
29,"['Sand', 'Depth']",1,0.37,0.51,1.903,1.693
30,"['Sand', 'Bulk_density']",1,0.401,0.567,1.879,1.586
31,"['Sand', 'Humus']",1,0.413,0.503,1.856,1.712
32,"['Sand', 'Fe']",2,0.657,0.85,1.36,0.951
33,"['Sand', 'EC']",1,0.705,0.758,1.346,1.208
34,"['Sand', 'pH_eau']",2,0.836,0.95,0.946,0.543
35,"['Sand', 'WC']",2,0.539,0.745,1.658,1.243
36,"['K_field', 'Khf']",1,0.176,0.501,2.147,1.744
37,"['K_field', 'Kfd']",2,0.271,0.642,2.227,1.391
38,"['K_field', 'Kfd_abs']",1,0.319,0.57,1.967,1.608
39,"['K_field', 'Depth']",1,0.421,0.609,1.884,1.544
40,"['K_field', 'Bulk_density']",1,0.253,0.542,2.058,1.671
41,"['K_field', 'Humus']",2,0.613,0.84,1.485,1.01
42,"['K_field', 'Fe']",2,0.725,0.893,1.21,0.803
